City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
164,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
171,San Patricio,US,82.02,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Cayenne,GF,87.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
177,Payyannur,IN,77.81,moderate rain,12.1,75.2,Kavvayi Beach House
180,Inirida,CO,86.59,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
186,Mbandaka,CD,76.8,light rain,0.0487,18.2603,Guest House Epervier
187,Darab,IR,72.73,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
188,Conde,BR,84.92,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
190,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
191,Lata,PT,75.34,overcast clouds,40.1629,-8.3327,Casa Maquia
192,Natal,BR,87.35,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
194,Bac Lieu,VN,80.22,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
195,Chimoio,MZ,87.49,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
197,San Fernando,PH,80.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
198,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
200,Souillac,MU,75.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Colares,PT,77.32,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
203,Harper,LR,79.38,light rain,4.375,-7.7169,Screensaver
204,Bintulu,MY,75.85,overcast clouds,3.1667,113.0333,900 Boutique INN
209,Kahului,US,74.84,light rain,20.8947,-156.47,Maui Seaside Hotel
211,Takoradi,GH,79.65,light rain,4.8845,-1.7554,Raybow International Hotel
212,Kavaratti,IN,82.13,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
214,Lagoa,PT,67.28,clear sky,39.05,-27.9833,Casa Das Faias
216,Porto Novo,BJ,78.06,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
217,Kotido,UG,82.47,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
218,Mahmudabad,IN,75.16,clear sky,27.3,81.1167,"Haider Services, Baitul Anwar"
