City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Victoria,HK,22.2855,114.1577,70.32,77,77,4.0,light rain
80,Carballo,ES,43.213,-8.691,62.55,74,100,4.12,overcast clouds
81,Eisiskes,LT,54.1667,25.0,41.34,81,61,11.27,broken clouds
82,Geraldton,AU,-28.7667,114.6,59.41,88,0,4.61,clear sky
83,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,18.41,clear sky
84,Anito,PH,12.4497,125.2886,78.84,88,97,6.26,heavy intensity rain
85,Atuona,PF,-9.8,-139.0333,77.81,77,20,18.12,few clouds
86,Lorengau,PG,-2.0226,147.2712,80.56,82,97,8.05,overcast clouds
87,Korem,ET,12.5058,39.5228,57.67,53,13,5.3,few clouds
88,Kapaa,US,22.0752,-159.319,73.18,94,19,11.83,few clouds
89,Nouadhibou,MR,20.931,-17.0347,69.06,79,0,23.62,clear sky
90,Sao Filipe,CV,14.8961,-24.4956,80.74,65,0,4.94,clear sky
91,Pecos,US,31.4229,-103.4932,80.31,60,1,0.0,clear sky
92,Ust-Ilimsk,RU,58.0006,102.6619,34.09,75,100,10.16,overcast clouds
93,Labuhan,ID,-6.8844,112.2051,80.71,78,94,8.08,overcast clouds
94,Upernavik,GL,72.7868,-56.1549,19.08,82,71,4.07,broken clouds
95,Kropotkin,RU,45.4375,40.5756,59.25,57,98,7.27,overcast clouds
96,College,US,64.8569,-147.8028,28.42,91,87,3.18,overcast clouds
97,Vigrestad,NO,58.5667,5.7,48.99,68,94,10.56,overcast clouds
98,Sherbrooke,CA,45.4001,-71.8991,45.68,78,90,5.75,overcast clouds
99,Muros,ES,42.7762,-9.0603,62.98,76,100,2.82,overcast clouds
100,San Cristobal,VE,7.7669,-72.225,77.18,58,78,6.24,broken clouds
101,Nuevo Casas Grandes,MX,30.4167,-107.9167,64.74,38,1,4.0,clear sky
102,Udachnyy,RU,66.4167,112.4,24.31,85,28,18.05,scattered clouds
103,Paamiut,GL,61.994,-49.6678,31.89,47,15,21.56,few clouds
104,Aden,YE,12.7794,45.0367,84.49,64,15,8.55,few clouds
105,Broome,US,42.2506,-75.833,50.02,72,90,1.01,overcast clouds
106,Kemijarvi,FI,66.7131,27.4306,22.68,97,100,2.68,overcast clouds
107,Mayumba,GA,-3.432,10.6554,79.12,78,79,6.31,broken clouds
108,Sisimiut,GL,66.9395,-53.6735,22.68,93,100,13.06,light snow
109,Ujjain,IN,23.1833,75.7667,70.0,56,0,4.5,clear sky
110,Mayo,US,38.8876,-76.5119,64.94,77,100,2.68,overcast clouds
111,Kaitangata,NZ,-46.2817,169.8464,49.68,91,100,3.49,light rain
112,Verkhoyansk,RU,67.5447,133.385,-0.67,100,99,2.33,overcast clouds
113,Sistranda,NO,63.7256,8.834,43.9,80,100,11.95,overcast clouds
114,Korla,CN,41.7597,86.1469,55.44,39,100,6.02,overcast clouds
115,Marsh Harbour,BS,26.5412,-77.0636,77.13,84,100,13.56,overcast clouds
116,Fairmont,US,39.4851,-80.1426,54.18,93,95,1.01,overcast clouds
