City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Clyde River,CA,2021-10-20 19:38:50,70.4692,-68.5914,273.28,86,75,4.12
68,Puerto Del Rosario,ES,2021-10-20 19:42:23,28.5004,-13.8627,296.01,83,20,5.14
69,Barrow,US,2021-10-20 19:42:23,71.2906,-156.7887,271.16,86,90,11.83
70,Faanui,PF,2021-10-20 19:42:24,-16.4833,-151.75,299.27,79,18,4.21
71,Tyrma,RU,2021-10-20 19:42:24,50.0833,132.1667,264.49,98,66,0.36
72,Kapaa,US,2021-10-20 19:38:20,22.0752,-159.319,300.14,76,20,0.45
73,Yellowknife,CA,2021-10-20 19:39:55,62.456,-114.3525,279.49,75,75,7.2
74,Castro,BR,2021-10-20 19:42:25,-24.7911,-50.0119,288.53,76,96,3.38
75,Sitka,US,2021-10-20 19:42:25,57.0531,-135.33,281.09,89,100,3.59
76,Saskylakh,RU,2021-10-20 19:38:32,71.9167,114.0833,257.34,100,98,2.35
77,Nurota,UZ,2021-10-20 19:42:25,40.5614,65.6886,284.2,65,53,1.32
78,Ushibuka,JP,2021-10-20 19:42:26,32.1906,130.0228,290.47,61,100,2.36
79,Lompoc,US,2021-10-20 19:40:43,34.6391,-120.4579,298.03,47,1,2.06
80,Nangomba,TZ,2021-10-20 19:42:26,-10.9,38.5,298.48,62,80,3.21
81,Namatanai,PG,2021-10-20 19:42:27,-3.6667,152.4333,299.72,81,99,1.56
82,Takoradi,GH,2021-10-20 19:42:27,4.8845,-1.7554,298.6,88,96,3.49
83,Tari,NG,2021-10-20 19:42:27,12.4086,4.4914,302.51,56,100,3.83
84,Eureka,US,2021-10-20 19:42:28,40.8021,-124.1637,290.51,66,100,2.68
85,Muzhi,RU,2021-10-20 19:42:28,65.3667,64.6667,271.88,85,28,2.36
86,Hedaru,TZ,2021-10-20 19:42:29,-4.5,37.9,294.43,80,92,2.21
87,Mweka,CD,2021-10-20 19:42:29,-4.85,21.5667,294.22,88,81,0.98
88,Langsa,ID,2021-10-20 19:42:29,4.4683,97.9683,296.12,98,100,1.39
89,Carnarvon,AU,2021-10-20 19:42:25,-24.8667,113.6333,292.19,68,90,5.14
90,Bethel,US,2021-10-20 19:42:30,41.3712,-73.414,298.05,52,1,0.45
91,Rocha,UY,2021-10-20 19:41:09,-34.4833,-54.3333,290.49,68,87,5.21
92,Mount Isa,AU,2021-10-20 19:39:31,-20.7333,139.5,297.02,43,75,1.54
93,Khatanga,RU,2021-10-20 19:39:46,71.9667,102.5,267.8,97,100,1.91
94,Atar,MR,2021-10-20 19:42:31,20.5169,-13.0499,303.77,13,2,4.5
95,Zhanakorgan,KZ,2021-10-20 19:42:31,43.9098,67.2495,285.03,36,21,4.24
96,Comodoro Rivadavia,AR,2021-10-20 19:38:32,-45.8667,-67.5,302.07,21,40,8.75
97,Sorong,ID,2021-10-20 19:42:32,-0.8833,131.25,299.76,83,100,3.29
98,Qaanaaq,GL,2021-10-20 19:38:50,77.484,-69.3632,263.18,87,56,2.43
99,Vardo,NO,2021-10-20 19:42:32,70.3705,31.1107,273.14,74,75,8.75
100,Kruisfontein,ZA,2021-10-20 19:39:11,-34.0033,24.7314,289.2,88,13,2.29
101,Katobu,ID,2021-10-20 19:42:33,-4.9408,122.5276,297.1,91,97,0.69
102,Saint-Augustin,CA,2021-10-20 19:42:33,51.226,-58.6502,280.42,88,100,6.29
103,Pisco,PE,2021-10-20 19:42:34,-13.7,-76.2167,294.18,64,0,5.66
104,Ketchikan,US,2021-10-20 19:39:30,55.3422,-131.6461,282.41,87,90,3.09
105,Baykit,RU,2021-10-20 19:42:34,61.67,96.37,275.14,94,100,1.62
106,Sergeyevka,KZ,2021-10-20 19:42:35,53.88,67.4158,282.3,79,100,6.94
107,Chuy,UY,2021-10-20 19:42:35,-33.6971,-53.4616,290.18,63,81,4.86
108,Garmsar,IR,2021-10-20 19:42:36,35.2182,52.3409,290.5,47,5,3.44
109,Timra,SE,2021-10-20 19:42:36,62.487,17.3257,280.19,96,12,2.06
110,Suditi,RO,2021-10-20 19:42:37,44.5833,27.6,285.96,68,1,4.6
111,Albany,US,2021-10-20 19:42:37,42.6001,-73.9662,296.01,47,50,0.45
112,Zyryanka,RU,2021-10-20 19:42:38,65.75,150.85,252.61,92,45,2.18
113,Haines Junction,CA,2021-10-20 19:42:38,60.7522,-137.5108,271.12,93,63,0.0
114,Miranda,CO,2021-10-20 19:42:39,3.2499,-76.2281,300.18,68,84,0.73
115,Saint-Philippe,RE,2021-10-20 19:42:39,-21.3585,55.7679,295.9,78,40,4.96
116,East London,ZA,2021-10-20 19:42:39,-33.0153,27.9116,291.31,83,10,7.24
117,Ahipara,NZ,2021-10-20 19:42:30,-35.1667,173.1667,288.79,92,100,5.36
118,Sooke,CA,2021-10-20 19:38:37,48.3746,-123.7276,287.35,89,100,3.09
119,Manali,IN,2021-10-20 19:42:40,13.1667,80.2667,300.2,77,20,1.27
120,Encruzilhada Do Sul,BR,2021-10-20 19:42:41,-30.5439,-52.5219,289.17,70,86,5.08
121,Jumla,NP,2021-10-20 19:42:41,29.2747,82.1838,285.56,87,62,0.69
122,Bayan,CN,2021-10-20 19:42:42,46.0833,127.4,272.25,67,5,1.33
123,Singkang,MY,2021-10-20 19:42:42,2.1006,102.7994,297.09,97,100,0.91
124,Aksu,CN,2021-10-20 19:42:43,41.1231,80.2644,284.59,27,34,0.74
125,Indramayu,ID,2021-10-20 19:42:43,-6.3264,108.32,300.9,72,100,1.19
126,Saint-Joseph,RE,2021-10-20 19:42:43,-21.3667,55.6167,295.35,77,32,3.72
127,Tulun,RU,2021-10-20 19:42:44,54.5611,100.5792,272.59,86,7,2.32
128,Port Hueneme,US,2021-10-20 19:42:44,34.1478,-119.1951,300.3,59,1,3.09
